sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2019,3,219,11702424.38,2019-03-01 00:00:00
AC,2019,3,221,21953920.64,2019-03-01 00:00:00
AC,2019,3,222,5601348.2,2019-03-01 00:00:00
AC,2019,3,229,27555268.84,2019-03-01 00:00:00
AC,2019,3,239,4707154.77,2019-03-01 00:00:00
AC,2019,3,249,0,2019-03-01 00:00:00
AC,2019,3,399,102229183.04,2019-03-01 00:00:00
AC,2019,3,409,7566378.6,2019-03-01 00:00:00
AC,2019,3,419,276211.65,2019-03-01 00:00:00
AC,2019,3,429,819788.37,2019-03-01 00:00:00
AC,2019,3,439,0,2019-03-01 00:00:00
AC,2019,3,499,8662378.62,2019-03-01 00:00:00
AC,2019,3,999,110891561.66,2019-03-01 00:00:00
AC,2019,4,119,63074.52,2019-04-01 00:00:00
AC,2019,4,129,13036546.15,2019-04-01 00:00:00
AC,2019,4,131,16420068.13,2019-04-01 00:00:00
AC,2019,4,132,19163740.41,2019-04-01 00:00:00
AC,2019,4,133,325070.5,2019-04-01 00:00:00
AC,2019,4,134,6411128.27,2019-04-01 00:00:00
AC,2019,4,135,6620550.08,2019-04-01 00:00:00
AC,2019,4,139,48940557.39,2019-04-01 00:00:00
AC,2019,4,211,0,2019-04-01 00:00:00
AC,2019,4,212,13374194.2,2019-04-01 00:00:00
AC,2019,4,219,13374194.2,2019-04-01 00:00:00
AC,2019,4,221,22939722.13,2019-04-01 00:00:00
AC,2019,4,222,6132777.67,2019-04-01 00:00:00
AC,2019,4,229,29072499.8,2019-04-01 00:00:00
AC,2019,4,239,4861443.49,2019-04-01 00:00:00
AC,2019,4,249,0,2019-04-01 00:00:00
AC,2019,4,399,109348315.55,2019-04-01 00:00:00
AC,2019,4,409,7923227.91,2019-04-01 00:00:00
AC,2019,4,419,237128.47,2019-04-01 00:00:00
AC,2019,4,429,824297.71,2019-04-01 00:00:00
AC,2019,4,439,0,2019-04-01 00:00:00
AC,2019,4,499,8984654.09,2019-04-01 00:00:00
AC,2019,4,999,118332969.64,2019-04-01 00:00:00
AC,2019,5,119,42028.04,2019-05-01 00:00:00
AC,2019,5,129,11763358.16,2019-05-01 00:00:00
AC,2019,5,131,17412424.48,2019-05-01 00:00:00
AC,2019,5,132,19345894.72,2019-05-01 00:00:00
AC,2019,5,133,290256.12,2019-05-01 00:00:00
AC,2019,5,134,6770128.15,2019-05-01 00:00:00
AC,2019,5,135,6668025.63,2019-05-01 00:00:00
AC,2019,5,139,50486729.1,2019-05-01 00:00:00
AC,2019,5,211,0,2019-05-01 00:00:00
AC,2019,5,212,12692609.22,2019-05-01 00:00:00
AC,2019,5,219,12692609.22,2019-05-01 00:00:00
AC,2019,5,221,16003140.77,2019-05-01 00:00:00
AC,2019,5,222,4379999.22,2019-05-01 00:00:00
AC,2019,5,229,20383139.99,2019-05-01 00:00:00
AC,2019,5,239,3221963.13,2019-05-01 00:00:00
